,sessionID,time,x,y
1196,s30,2016-09-11 21:20:21,-3534.8094399780966,-72380.47217006003
1197,s30,2016-09-11 21:20:26,-3534.8094399780966,-72380.47217006003
1198,s30,2016-09-11 21:20:31,-3534.8094399780966,-72380.47217006003
1199,s30,2016-09-11 21:20:36,-3534.8094399780966,-72380.47217006003
1200,s30,2016-09-11 21:20:41,-3534.8094399780966,-72380.47217006003
1201,s30,2016-09-11 21:20:46,-3534.8094399780966,-72380.47217006003
1202,s30,2016-09-11 21:20:51,-3534.8094399780966,-72380.47217006003
1203,s30,2016-09-11 21:20:56,-3534.8094399780966,-72380.47217006003
1204,s30,2016-09-11 21:21:01,-3534.8094399780966,-72380.47217006003
1205,s30,2016-09-11 21:21:06,-3534.8094399780966,-72380.47217006003
1206,s30,2016-09-11 21:21:11,-3534.8094399780966,-72380.47217006003
1207,s30,2016-09-11 21:21:16,-3534.8094399780966,-72380.47217006003
1208,s30,2016-09-11 21:21:21,-3534.8094399780966,-72380.47217006003
1209,s30,2016-09-11 21:21:26,-3534.8094399780966,-72380.47217006003
1210,s30,2016-09-11 21:21:31,-3534.8094399780966,-72380.47217006003
1211,s30,2016-09-11 21:21:36,-3534.8094399780966,-72380.47217006003
1212,s30,2016-09-11 21:21:41,-3534.8094399780966,-72380.47217006003
1213,s30,2016-09-11 21:21:46,-3534.8094399780966,-72380.47217006003
1214,s30,2016-09-11 21:21:51,-3534.8094399780966,-72380.47217006003
1215,s30,2016-09-11 21:21:56,-3534.8099069804884,-72379.36236809986
1216,s30,2016-09-11 21:22:01,-3534.8099069804884,-72379.36236809986
1217,s30,2016-09-11 21:22:06,-3534.8099069804884,-72379.36236809986
1218,s30,2016-09-11 21:22:11,-3534.8099069804884,-72379.36236809986
1219,s30,2016-09-11 21:22:16,-3534.8099069804884,-72379.36236809986
1220,s30,2016-09-11 21:22:21,-3534.8099069804884,-72379.36236809986
1221,s30,2016-09-11 21:22:26,-3534.8099069804884,-72379.36236809986
1222,s30,2016-09-11 21:22:31,-3534.8099069804884,-72379.36236809986
1223,s30,2016-09-11 21:22:36,-3534.8099069804884,-72379.36236809986
1224,s30,2016-09-11 21:22:41,-3534.8099069804884,-72379.36236809986
1225,s30,2016-09-11 21:22:46,-3534.8103739828803,-72378.25256613689
1226,s30,2016-09-11 21:22:51,-3534.8099069804884,-72379.36236809986
1227,s30,2016-09-11 21:22:56,-3534.8099069804884,-72379.36236809986
1228,s30,2016-09-11 21:23:01,-3534.8099069804884,-72379.36236809986
1229,s30,2016-09-11 21:23:06,-3534.8099069804884,-72379.36236809986
1230,s30,2016-09-11 21:23:11,-3534.8099069804884,-72379.36236809986
1231,s30,2016-09-11 21:23:16,-3534.8099069804884,-72379.36236809986
1232,s30,2016-09-11 21:23:21,-3534.8099069804884,-72379.36236809986
1233,s30,2016-09-11 21:23:26,-3534.8099069804884,-72379.36236809986
1234,s30,2016-09-11 21:23:31,-3534.8099069804884,-72379.36236809986
1235,s30,2016-09-11 21:23:36,-3534.8099069804884,-72379.36236809986
1236,s30,2016-09-11 21:23:41,-3534.8099069804884,-72379.36236809986
1237,s30,2016-09-11 21:23:46,-3534.8099069804884,-72379.36236809986
1238,s30,2016-09-11 21:23:51,-3534.8099069804884,-72379.36236809986
